gene	CNT
GENE.71689	8086
GENE.5331	4222
GENE.66357	82
GENE.15839	5780
GENE.519	898
GENE.62759	54052
GENE.84378	4080
GENE.33606	133340
GENE.18031	8388
GENE.39086	306
GENE.61588	44246
GENE.21979	1314
GENE.63515	632
GENE.57438	15054
GENE.55658	10438
GENE.64390	15800
GENE.60982	952
GENE.35630	974
GENE.7695	370
GENE.29413	3824
GENE.17673	19418
GENE.15795	84354
GENE.50646	359134
GENE.43374	2568
GENE.12893	102760
GENE.84162	69210
GENE.82267	780
GENE.58278	5282
GENE.24117	48220
GENE.7084	724
GENE.48966	6662
GENE.26404	8812
GENE.56379	8750
GENE.15083	9864
GENE.82317	822
GENE.84434	4620
GENE.81144	2444
GENE.39960	8460
GENE.71393	870
GENE.47713	6672
GENE.37870	90306
GENE.34923	464
GENE.59791	5360
GENE.50340	13392
GENE.60045	5610
GENE.50402	75476
GENE.39772	2740
GENE.61041	576
GENE.7285	56168
GENE.56945	7666
GENE.68264	1608
GENE.44447	154290
GENE.34998	1142740
GENE.79850	6898
GENE.61616	796
GENE.18118	121598
GENE.23410	3804
GENE.48344	178340
GENE.18353	72650
GENE.51809	18696
GENE.62330	11098
GENE.31761	1576
GENE.23814	808
GENE.80532	90272
GENE.1196	2566
GENE.41257	2080
GENE.14886	48038
GENE.77264	156212
GENE.25827	55492
GENE.9231	1382
GENE.48754	2852
GENE.80566	4178
GENE.54567	21316
GENE.30671	3220
GENE.49920	33230
GENE.79763	3310
GENE.1599	32710
GENE.35213	25484
GENE.85130	32048
GENE.63760	6664
GENE.73918	15792
GENE.32890	6920
GENE.51448	5716
GENE.38999	20376
GENE.66985	274274
GENE.40251	4774
GENE.54046	216
GENE.82301	860
GENE.17816	1364
GENE.73111	1456
GENE.11673	115494
GENE.32260	1344
GENE.55775	2720
GENE.76421	2168
GENE.11961	1742
GENE.36852	2016
GENE.6721	3098
GENE.65210	1010
GENE.55089	123376
GENE.74944	920
GENE.19518	2838
GENE.1727	62
GENE.25498	76078
GENE.87013	7978
GENE.32717	126
GENE.69359	6544
GENE.28296	93332
GENE.6486	50852
GENE.73606	566
GENE.15056	408512
GENE.70806	4558
GENE.70846	15950
GENE.24503	1496
GENE.52131	1534
GENE.33697	602
GENE.34606	496
GENE.39098	1184
GENE.35506	8316
GENE.33257	524
GENE.54258	35586
GENE.5386	8690
GENE.16960	5428
GENE.12535	36048
GENE.50900	106680
GENE.11137	37758
GENE.16121	55768
GENE.1529	6360
GENE.77995	160
GENE.50247	281604
GENE.55678	10490
GENE.60515	5312
GENE.21299	56672
GENE.42893	16150
GENE.15741	528
GENE.64523	1954
GENE.11781	39668
GENE.4529	44438
GENE.65021	46
GENE.81641	9906
GENE.70566	2618
GENE.47418	2228
GENE.37169	7214
GENE.63057	448
GENE.34221	1662
GENE.12771	680
