gene	CNT
GENE.5331	478
GENE.71689	872
GENE.66357	4
GENE.15839	638
GENE.519	66
GENE.62759	2328
GENE.84378	646
GENE.33606	4940
GENE.18031	1372
GENE.39086	50
GENE.61588	2024
GENE.63515	44
GENE.57438	718
GENE.21979	206
GENE.55658	458
GENE.64390	1292
GENE.60982	50
GENE.35630	224
GENE.7695	62
GENE.17673	1452
GENE.29413	640
GENE.15795	4444
GENE.50646	13970
GENE.43374	414
GENE.12893	4866
GENE.84162	2586
GENE.82267	104
GENE.58278	492
GENE.24117	2684
GENE.7084	98
GENE.48966	1050
GENE.56379	744
GENE.26404	432
GENE.15083	548
GENE.82317	120
GENE.84434	748
GENE.81144	420
GENE.39960	480
GENE.71393	70
GENE.47713	360
GENE.37870	3214
GENE.34923	60
GENE.50340	1400
GENE.60045	856
GENE.50402	2730
GENE.59791	946
GENE.61041	100
GENE.39772	196
GENE.7285	2036
GENE.56945	756
GENE.68264	286
GENE.44447	7858
GENE.34998	41280
GENE.79850	314
GENE.61616	116
GENE.18118	6112
GENE.23410	356
GENE.48344	6032
GENE.18353	3158
GENE.51809	2048
GENE.62330	744
GENE.23814	166
GENE.31761	256
GENE.80532	4530
GENE.1196	380
GENE.41257	386
GENE.14886	2070
GENE.77264	6178
GENE.25827	2396
GENE.9231	204
GENE.48754	554
GENE.80566	752
GENE.54567	1828
GENE.30671	628
GENE.49920	2046
GENE.79763	494
GENE.35213	1622
GENE.85130	1272
GENE.1599	3358
GENE.63760	666
GENE.73918	658
GENE.51448	936
GENE.32890	1338
GENE.38999	784
GENE.66985	10456
GENE.40251	496
GENE.54046	36
GENE.17816	486
GENE.82301	174
GENE.73111	262
GENE.11673	4880
GENE.32260	212
GENE.55775	418
GENE.76421	506
GENE.11961	268
GENE.6721	588
GENE.36852	268
GENE.65210	186
GENE.55089	5516
GENE.74944	150
GENE.19518	442
GENE.1727	18
GENE.25498	3128
GENE.87013	624
GENE.32717	78
GENE.69359	1056
GENE.28296	4872
GENE.6486	2442
GENE.73606	96
GENE.15056	14586
GENE.70806	804
GENE.70846	790
GENE.24503	444
GENE.52131	256
GENE.33697	104
GENE.39098	176
GENE.34606	88
GENE.35506	648
GENE.33257	36
GENE.54258	1872
GENE.16960	1072
GENE.5386	1430
GENE.12535	1416
GENE.50900	5044
GENE.16121	2788
GENE.11137	2264
GENE.1529	1040
GENE.77995	22
GENE.50247	10290
GENE.60515	770
GENE.21299	3498
GENE.55678	1820
GENE.42893	672
GENE.15741	70
GENE.64523	336
GENE.11781	1842
GENE.4529	3088
GENE.65021	8
GENE.81641	1100
GENE.70566	412
GENE.47418	480
GENE.37169	1318
GENE.63057	68
GENE.34221	66
GENE.12771	98
GENE.19175	3722
GENE.86245	1514
GENE.75730	5958
GENE.75567	2896
GENE.6674	304
GENE.31436	1076
GENE.58953	152
GENE.14124	592
GENE.30794	1456
GENE.24567	4284
GENE.15514	240
GENE.34611	592
GENE.34177	48
GENE.30642	1290
GENE.22079	1222
GENE.69334	11768
GENE.64877	152
GENE.58091	184
GENE.83041	332
GENE.7252	5960
GENE.1694	1412
GENE.38146	756
GENE.86069	682
GENE.7917	182
GENE.54720	2812
GENE.43691	212
GENE.41255	2042
GENE.47070	1400
GENE.83336	378
GENE.14596	3882
GENE.38335	3008
GENE.22249	198
GENE.70250	102
GENE.72650	546
GENE.86422	166
GENE.5058	2308
GENE.24245	3696
GENE.9026	688
GENE.23211	588
GENE.79207	690
GENE.15582	714
GENE.44628	16
GENE.60083	310
GENE.72262	108
GENE.71779	970
GENE.4969	1944
GENE.54325	3802
GENE.50053	1086
GENE.11899	492
GENE.50684	152
GENE.75786	1672
GENE.16713	25044
GENE.24818	462
GENE.18131	3670
GENE.22364	4034
GENE.75603	448
GENE.63881	2658
GENE.84492	1418
GENE.13551	2532
GENE.5671	1020
GENE.37247	96
GENE.26809	3110
GENE.65104	302
GENE.39102	234
GENE.75251	2702
GENE.60904	3206
GENE.42857	318
GENE.34873	384
GENE.25396	2530
GENE.64167	294
GENE.279	2148
GENE.77162	714
GENE.50108	356
GENE.588	2976
GENE.28736	232
GENE.29708	120
GENE.57206	154
GENE.17454	3360
GENE.31262	1172
GENE.60200	962
GENE.43594	4200
GENE.42808	3720
GENE.68362	582
GENE.56832	1594
GENE.64969	900
GENE.15182	24
GENE.39130	3614
GENE.56124	510
GENE.6106	102
GENE.67094	5614
GENE.3072	20
GENE.79744	150
GENE.22897	788
GENE.45671	16
GENE.41057	1104
GENE.79844	13982
GENE.71879	108
GENE.4905	2268
GENE.31862	1612
GENE.69960	1398
GENE.6232	446
GENE.63438	1410
GENE.3478	1048
GENE.54622	476
GENE.42918	12
GENE.84736	66
GENE.1240	220
GENE.1482	442
GENE.21778	2976
GENE.2572	286
GENE.26671	878
GENE.52250	566
GENE.50498	3852
GENE.28340	1794
GENE.70711	4500
GENE.55024	13184
GENE.2760	1200
GENE.19782	454
GENE.4342	32
GENE.35734	170
GENE.4587	2342
GENE.5535	430
GENE.176	1126
GENE.70797	220
GENE.18408	1754
GENE.13804	946
GENE.21955	434
GENE.82583	3096
GENE.75218	456
GENE.4410	458
GENE.17999	470
GENE.23291	4812
GENE.51147	74
GENE.40582	386
GENE.45218	1788
GENE.62364	1974
GENE.3178	2620
GENE.82801	738
GENE.2692	160
GENE.83720	370
GENE.54254	26
GENE.18431	10042
GENE.38847	562
GENE.28853	268
GENE.54994	4426
GENE.15556	576
GENE.20141	5196
GENE.14575	802
GENE.81086	20
GENE.15637	12
GENE.34543	2638
GENE.55672	3524
GENE.63789	2782
GENE.5252	3188
GENE.26600	8868
GENE.16940	2458
GENE.62831	574
GENE.52633	56
GENE.49838	684
GENE.45058	2774
GENE.42872	642
GENE.47699	398
GENE.84429	946
GENE.60381	24
GENE.46253	6888
GENE.17070	2038
GENE.14445	76
GENE.905	1250
GENE.25069	5486
GENE.63411	752
GENE.24463	602
GENE.41496	1608
GENE.44885	36
GENE.52987	832
GENE.69713	490
GENE.60483	1774
GENE.68199	3760
GENE.72816	858
GENE.41677	450
GENE.52195	440
GENE.85019	1046
GENE.51531	162
GENE.77926	608
GENE.49903	1274
GENE.6671	298
GENE.28332	1346
GENE.4514	224
GENE.49740	2504
GENE.45484	1492
GENE.74040	548
GENE.49295	544
GENE.5277	384
GENE.37709	630
GENE.2078	186
GENE.299	238
GENE.52668	268
GENE.39958	5114
GENE.37376	320
GENE.57756	506
GENE.82190	550
GENE.73400	44
GENE.75337	8290
GENE.42348	468
GENE.33189	2538
GENE.46953	974
GENE.74316	114
