gene	CNT
GENE.5331	3788
GENE.71689	7408
GENE.66357	72
GENE.15839	5280
GENE.519	758
GENE.62759	53690
GENE.84378	3810
GENE.33606	137928
GENE.18031	7126
GENE.39086	254
GENE.61588	44464
GENE.21979	1158
GENE.63515	546
GENE.57438	14944
GENE.55658	10168
GENE.64390	14990
GENE.35630	730
GENE.60982	998
GENE.7695	308
GENE.29413	3456
GENE.17673	18246
GENE.15795	82122
GENE.50646	365998
GENE.43374	2306
GENE.12893	101104
GENE.84162	71146
GENE.82267	700
GENE.58278	4950
GENE.24117	46948
GENE.7084	686
GENE.56379	7942
GENE.48966	6228
GENE.26404	8808
GENE.15083	9456
GENE.82317	704
GENE.84434	4194
GENE.81144	2098
GENE.39960	8232
GENE.71393	922
GENE.47713	6680
GENE.37870	92804
GENE.34923	486
GENE.60045	4950
GENE.59791	4788
GENE.50340	12196
GENE.50402	78062
GENE.61041	536
GENE.39772	2584
GENE.7285	58694
GENE.56945	7468
GENE.68264	1388
GENE.44447	150582
GENE.34998	1180688
GENE.79850	6814
GENE.61616	756
GENE.18118	118644
GENE.23410	3302
GENE.48344	184464
GENE.18353	71962
GENE.51809	17802
GENE.62330	10674
GENE.31761	1372
GENE.23814	802
GENE.80532	89220
GENE.1196	2148
GENE.41257	1782
GENE.77264	159430
GENE.14886	47742
GENE.25827	55674
GENE.9231	1102
GENE.48754	2296
GENE.80566	3620
GENE.54567	20168
GENE.30671	3058
GENE.49920	32002
GENE.79763	3070
GENE.1599	29368
GENE.35213	24066
GENE.85130	32608
GENE.63760	5962
GENE.73918	15526
GENE.32890	5536
GENE.51448	4902
GENE.66985	279724
GENE.38999	20072
GENE.40251	4530
GENE.17816	1072
GENE.82301	790
GENE.54046	194
GENE.73111	1322
GENE.11673	115302
GENE.32260	1210
GENE.55775	2382
GENE.76421	1850
GENE.11961	1604
GENE.36852	1902
GENE.6721	2662
GENE.65210	922
GENE.55089	122308
GENE.74944	882
GENE.19518	2752
GENE.1727	38
GENE.25498	77712
GENE.87013	7484
GENE.32717	74
GENE.69359	6230
GENE.28296	91164
GENE.6486	50062
GENE.73606	460
GENE.15056	422672
GENE.70806	4212
GENE.70846	15542
GENE.24503	1068
GENE.52131	1430
GENE.33697	588
GENE.39098	1094
GENE.34606	492
GENE.35506	8096
GENE.33257	508
GENE.54258	34630
GENE.16960	5010
GENE.5386	7774
GENE.12535	37602
GENE.50900	104296
GENE.16121	54894
GENE.11137	35914
GENE.1529	5590
GENE.77995	138
GENE.50247	291504
GENE.60515	4776
GENE.55678	9528
GENE.21299	54176
GENE.42893	15980
GENE.15741	506
GENE.64523	1756
GENE.11781	38156
GENE.4529	42502
GENE.65021	46
GENE.81641	8944
GENE.70566	2250
GENE.47418	2120
GENE.37169	6478
GENE.63057	408
GENE.34221	1624
GENE.12771	554
GENE.19175	64112
GENE.75730	111622
GENE.86245	33944
GENE.75567	46358
GENE.6674	6118
GENE.31436	12172
GENE.58953	832
GENE.30794	12746
GENE.14124	5260
GENE.24567	68828
GENE.34611	3130
GENE.15514	6560
GENE.34177	362
GENE.30642	31608
GENE.22079	10602
GENE.69334	389138
GENE.64877	576
GENE.58091	964
GENE.83041	3930
GENE.7252	67534
GENE.1694	8312
GENE.38146	2572
GENE.86069	15480
GENE.7917	1166
GENE.54720	32146
GENE.43691	1244
GENE.41255	10090
GENE.47070	30832
GENE.83336	3258
GENE.14596	19614
GENE.38335	80294
GENE.22249	866
GENE.70250	382
GENE.72650	2968
GENE.86422	976
GENE.5058	60380
GENE.24245	50728
GENE.23211	2838
GENE.9026	12212
GENE.79207	4550
GENE.15582	3648
GENE.44628	104
GENE.60083	3686
GENE.72262	202
GENE.71779	15158
GENE.4969	30512
GENE.54325	60478
GENE.50053	21482
GENE.11899	4684
GENE.50684	644
GENE.75786	33204
GENE.16713	785924
GENE.24818	2214
GENE.22364	78200
GENE.18131	69438
GENE.75603	2612
GENE.84492	25150
GENE.13551	12346
GENE.63881	12214
GENE.5671	8914
GENE.37247	580
GENE.26809	64092
GENE.39102	1074
GENE.65104	2352
GENE.60904	68580
GENE.75251	61170
GENE.34873	2358
GENE.42857	1802
GENE.25396	58258
GENE.64167	1464
GENE.279	65048
GENE.77162	4080
GENE.50108	2472
GENE.588	62108
GENE.28736	1190
GENE.29708	778
GENE.57206	1018
GENE.31262	21632
GENE.17454	80832
GENE.60200	19454
GENE.43594	95718
GENE.42808	102612
GENE.68362	2466
GENE.56832	35534
GENE.64969	4856
GENE.15182	150
GENE.39130	58012
GENE.56124	2512
GENE.6106	730
GENE.67094	120824
GENE.3072	228
GENE.79744	970
GENE.22897	3810
GENE.45671	72
GENE.41057	9814
GENE.79844	319904
GENE.71879	714
GENE.4905	61954
GENE.31862	35636
GENE.69960	21632
GENE.6232	3716
GENE.63438	19640
GENE.3478	27778
GENE.54622	2632
GENE.42918	112
GENE.1240	4034
GENE.1482	2114
GENE.84736	420
GENE.21778	16634
GENE.2572	1306
GENE.52250	1768
GENE.26671	14730
GENE.28340	20360
GENE.50498	87778
GENE.70711	62104
GENE.55024	368676
GENE.2760	26594
GENE.19782	2450
GENE.4342	528
GENE.35734	3784
GENE.4587	20148
GENE.176	18208
GENE.5535	3812
GENE.70797	956
GENE.18408	50348
GENE.13804	17772
GENE.21955	2234
GENE.82583	49396
GENE.75218	2054
GENE.4410	8768
GENE.17999	2424
GENE.23291	90734
GENE.51147	358
GENE.40582	2144
GENE.45218	9910
GENE.62364	17888
GENE.82801	3420
GENE.3178	65006
GENE.83720	1850
GENE.2692	1904
GENE.54254	174
GENE.18431	160906
GENE.28853	1014
GENE.38847	2896
GENE.54994	133264
GENE.15556	3162
GENE.14575	10950
GENE.20141	112394
GENE.81086	128
GENE.15637	120
GENE.63789	55162
GENE.34543	58718
GENE.55672	75058
GENE.5252	49124
GENE.26600	238848
GENE.16940	27076
GENE.62831	3042
GENE.52633	518
GENE.49838	3482
GENE.45058	12798
GENE.42872	12714
GENE.47699	2464
GENE.84429	4622
GENE.60381	16
GENE.46253	151364
GENE.17070	41796
GENE.14445	488
GENE.905	38214
GENE.25069	104280
GENE.63411	3834
GENE.41496	34948
GENE.24463	3198
GENE.44885	36
GENE.52987	10374
GENE.69713	10670
GENE.60483	20362
GENE.68199	43220
GENE.72816	4574
GENE.52195	2730
GENE.41677	7748
GENE.85019	23154
GENE.51531	22
GENE.77926	3360
GENE.49903	36854
GENE.28332	15642
GENE.6671	1942
GENE.4514	4328
GENE.49740	41712
GENE.45484	7982
GENE.74040	2746
GENE.49295	11344
GENE.5277	2250
GENE.2078	1298
GENE.37709	8014
GENE.299	5290
GENE.52668	1574
GENE.39958	81542
GENE.37376	1546
GENE.57756	2470
GENE.82190	7224
GENE.73400	244
GENE.75337	206594
GENE.42348	2264
GENE.33189	49814
GENE.46953	19574
GENE.74316	662
GENE.16822	396
GENE.52353	27484
GENE.6782	3196
GENE.62949	146
GENE.44751	284
GENE.12022	94
GENE.39330	9094
GENE.59475	40008
GENE.7566	1316
GENE.85707	4328
GENE.26707	2046
GENE.37934	441106
GENE.30094	5470
GENE.71522	4442
GENE.1740	3366
GENE.2595	3216
GENE.62205	4380
GENE.56515	14060
GENE.49763	9514
GENE.20125	6232
GENE.5282	520970
GENE.33270	3428
GENE.9098	120430
GENE.41267	36074
GENE.62976	41056
