gene	CNT
GENE.5331	4228
GENE.71689	7856
GENE.66357	90
GENE.15839	5462
GENE.519	826
GENE.62759	54990
GENE.84378	4114
GENE.33606	133678
GENE.18031	8320
GENE.39086	264
GENE.61588	45012
GENE.63515	648
GENE.21979	1376
GENE.57438	14860
GENE.55658	10350
GENE.64390	15432
GENE.35630	858
GENE.60982	864
GENE.7695	394
GENE.17673	19650
GENE.29413	3948
GENE.15795	84418
GENE.50646	358944
GENE.43374	2644
GENE.12893	102736
GENE.84162	68568
GENE.82267	738
GENE.58278	5344
GENE.24117	48626
GENE.7084	856
GENE.56379	8524
GENE.26404	9050
GENE.48966	6708
GENE.15083	9936
GENE.82317	778
GENE.84434	4642
GENE.81144	2564
GENE.39960	8698
GENE.71393	974
GENE.47713	6626
GENE.37870	90558
GENE.60045	5348
GENE.34923	472
GENE.59791	5416
GENE.50402	75310
GENE.50340	13210
GENE.61041	560
GENE.39772	2862
GENE.7285	56726
GENE.56945	8016
GENE.68264	1626
GENE.44447	153692
GENE.34998	1144466
GENE.79850	6850
GENE.61616	826
GENE.18118	121884
GENE.23410	3856
GENE.48344	178414
GENE.18353	71124
GENE.51809	18956
GENE.62330	11176
GENE.31761	1638
GENE.23814	820
GENE.80532	90114
GENE.1196	2468
GENE.41257	2124
GENE.14886	47422
GENE.77264	157684
GENE.25827	55640
GENE.9231	1374
GENE.48754	2744
GENE.80566	4074
GENE.54567	21444
GENE.30671	3232
GENE.49920	33554
GENE.79763	3316
GENE.1599	33138
GENE.35213	25528
GENE.85130	31688
GENE.63760	6688
GENE.73918	15364
GENE.51448	5390
GENE.32890	6832
GENE.38999	19916
GENE.66985	275332
GENE.40251	4806
GENE.54046	186
GENE.82301	944
GENE.17816	1478
GENE.73111	1444
GENE.11673	115112
GENE.55775	2674
GENE.32260	1362
GENE.76421	2222
GENE.11961	1832
GENE.36852	2008
GENE.6721	3090
GENE.65210	968
GENE.55089	122834
GENE.74944	914
GENE.19518	2952
GENE.1727	78
GENE.25498	76988
GENE.87013	7950
GENE.32717	114
GENE.69359	6632
GENE.28296	92560
GENE.6486	51268
GENE.73606	544
GENE.15056	409680
GENE.70846	15422
GENE.70806	4470
